1,A32,CTCP 32,Thời trang và hàng lâu bền,UPCoM,"6,800,000"
2,AAA,CTCP Nhựa An Phát Xanh,Nguyên vật liệu,HOSE,"382,274,496"
3,AAH,CTCP Hợp Nhất,Năng lượng,UPCoM,"117,900,000"
4,AAM,CTCP Thủy sản MeKong,"Thực phẩm, đồ uống và thuốc lá",HOSE,"12,346,411"
5,AAS,CTCP Chứng khoán SmartInvest,Dịch vụ tài chính,UPCoM,"229,999,521"
6,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Thời trang và hàng lâu bền,HOSE,"70,819,103"
7,AAV,CTCP AAV Group,Bất động sản,HNX,"68,987,661"
8,ABB,Ngân hàng TMCP An Bình,Tổ chức tín dụng,UPCoM,"1,035,036,762"
9,ABC,CTCP Truyền thông VMG,Dịch vụ viễn thông,UPCoM,"20,393,000"
10,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm,UPCoM,"72,391,750"
11,ABR,CTCP Đầu tư Nhãn hiệu Việt,Dịch vụ viễn thông,HOSE,"20,000,000"
12,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE,"80,000,000"
13,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá",HOSE,"14,387,207"
14,ABW,CTCP Chứng khoán An Bình,Dịch vụ tài chính,UPCoM,"101,150,000"
15,ACB,Ngân hàng TMCP Á Châu,Tổ chức tín dụng,HOSE,"5,136,656,599"
16,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Hàng hóa công nghiệp,HOSE,"104,999,993"
17,ACE,CTCP Bê tông Ly tâm An Giang,Nguyên vật liệu,UPCoM,"3,050,781"
18,ACG,CTCP Gỗ An Cường,Nguyên vật liệu,HOSE,"150,787,946"
19,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,"50,159,019"
20,ACM,CTCP Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCoM,"51,000,000"
